MAV,RMS,WL,ZCR,bp_d,bp_t,bp_a,bp_b,bp_30_80,bp_hi,specEnt,kurt,Signal,Start,End,Cluster
7.47061004596888e-12,9.3148040916754e-12,5.37940357770944e-10,0.0859375,8.34526877293334e-24,8.12717706852891e-23,9.01317507885642e-24,5.41522285349925e-25,6.0257886468238e-26,4.66858492714812e-26,2.62828690293219e-06,3.32017215201081,thalt,1793,2304,1
4.52868816927507,12.4458731360748,369.096516940322,0.1328125,24.4886931167172,155.854968538498,34.7712459327525,1.11980231958282,0.142488711007675,0.098165764347354,0.491565945892027,15.0504175516138,thalt,2049,2560,1
4.52868816927285,12.4458731360748,369.096517758398,0.12890625,24.6591984469362,161.464926918944,37.4621324852094,1.26158036090921,0.162025252898688,0.113302841862844,0.492690217302354,15.0504175516139,thalt,2305,2816,1
3.18504026658458e-12,3.91111543422213e-12,2.12869690086508e-10,0.078125,1.08226516918595e-24,8.61674290207386e-24,6.80036049364309e-25,5.48088105543458e-26,6.75260467613433e-27,5.55328405432304e-27,3.1190126403616e-07,2.95287335723852,thalt,2561,3072,1
3.50849976292927e-12,4.3778295447385e-12,2.12920396629131e-10,0.07421875,5.53903714507166e-24,1.43332752193377e-23,6.82121839515688e-25,6.66126658064162e-26,6.84927677339938e-27,5.80697290264434e-27,5.90928443311196e-07,2.76897200865025,thalt,2817,3328,1
3.1126593574951e-12,3.89516227960879e-12,1.95959992815218e-10,0.07421875,3.00087973554784e-24,1.0054460574227e-23,6.45277702957057e-25,5.66387972001711e-26,5.82033594826747e-27,4.83996741379756e-27,4.06464412235181e-07,2.81557334350311,thalt,3073,3584,1
2.34931212809492e-12,2.91895581308846e-12,1.57582564798152e-10,0.078125,1.05823070113516e-24,5.95472938019748e-24,4.907175511973e-25,3.45694498224391e-26,3.77950553526845e-27,3.03756998618776e-27,2.30967731232483e-07,2.84463912816661,thalt,3329,3840,1
2.10031345740229,5.72296083671021,133.125416285585,0.07421875,2.02806868068602,4.0548685223313,0.319772349423213,0.0145866214046017,0.00192217630903161,0.00156714019073937,0.449830153950149,12.7051905785318,thalt,3585,4096,1
2.44529087482493,5.92570787503459,174.391370626936,0.125,8.35755395098615,32.8538570724149,3.38994002220706,0.217899411769136,0.0236236927917366,0.0185792640819615,0.450639208418704,11.1092795419481,thalt,3841,4352,1
0.344977417425964,1.53679311611164,39.449049493238,0.140625,0.00435683023519204,0.0157109903433383,0.0171114211299366,0.00356458001399157,0.000785941576492883,0.000594362465465581,0.637484728920731,31.3976223740336,thalt,4097,4608,1
